,text,clean_text,is_spam
27,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,เธอขึ้นรถเมล์ได้ไหมอ่ะ เธอทอดไข่เหรอ เธอชงชาหรือยัง เธอกินที่เหลือของแม่เธอตอนข้าวเย็นเหรอ เธอรู้สึกถึงความรักของฉันไหม,0
28,"I'm back &amp; we're packing the car now, I'll let you know if there's room",ฉันกลับมา & แอมป์; เรากําลังบรรจุรถตอนนี้ฉันจะแจ้งให้คุณทราบหากมีห้อง,0
29,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,อ่า ทํางาน ฉันจําได้รางๆนะ มันรู้สึกยังไงอ่ะ (หัวเราะ),0
30,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",เดี๋ยวนะ นั่นยังไม่ชัดเจนทั้งหมด เธอไม่แน่ใจว่าฉันประชดประชันหรือนั่นเป็นสาเหตุที่เอ็กซ์ไม่อยากอยู่กับพวกเรา,0
31,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,อือ เขาเข้ามาตอน 2 และ v'a และได้ลดลงและหล่อนทําเหมือนเสียเด็กและเขาถูกจับในสิ่งนั้น จนถึง 2 แต่พวกเราไม่ไปที่นั่น ไม่ได้ทําไม่ดีไชโย เธอละ,0
32,K tell me anything about you.,เค บอกฉันอะไรก็ได้เกี่ยวกับเธอ,0
33,For fear of fainting with the of all that housework you just did? Quick have a cuppa,สําหรับความกลัวของลมกับงานบ้านทั้งหมดที่คุณเพิ่งทํา? เร็วมี cuppa,0
35,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,ใช่...โอเค ฉันกลับบ้านดูเวลานั้นแล้วฉันส่งข้อความหาเธออีกครั้ง...ฉันไปเรียนวันที่ 2 พฤษภาเหมือนกัน แต่วิชาเรียนของหล่อนตอน 8 โมงเช้า,0
36,"Oops, I'll let you know when my roommate's done",อุปส์ ฉันจะบอกเธอเมื่อรูมเมทของฉันเสร็จนะ,0
37,I see the letter B on my car,ฉันเห็นตัวอักษรบีบนรถของฉัน,0
38,Anything lor... U decide...,อะไรก็ได้...เธอตัดสินใจ...,0
39,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,สวัสดี เธอสบายดีไหมและวันเสาร์เป็นยังไงบ้างอ่ะ ฉันพึ่งส่งข้อความเพื่อดูว่าเธอตัดสินใจทําอะไรในวันพรุ่งนี้ไหม ไม่ใช่ว่าฉันพยายามจะชวนตัวเองหรืออะไรนะ,0
40,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,ช่วยไปข้างหน้าด้วยวัตต์นะ ฉันแค่อยากจะแน่ใจ ขอให้มีวันหยุดที่ดีนะ อาบิโอล่า,0
41,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",ฉันลืมบอกเธอเหรอ ฉันต้องการเธอ ฉันต้องการเธอ...แต่ทั้งหมด...ฉันรักเธอที่รักอาหรับม้าของฉัน....อืม....อร่อย,0
43,WHO ARE YOU SEEING?,เธอเห็นใครเหรอ?,0
44,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,ดีจัง ฉันหวังว่าเธอจะชอบผู้ชายของเธอนะ ฉันและแอลที # & gt; นิ้ว...,0
45,No calls..messages..missed calls,ไม่มีการโทร...ข้อความ...สายที่ไม่ได้รับ,0
46,Didn't you get hep b immunisation in nigeria.,เธอไม่ได้ฉีดเฮปบีในไนจีเรียเหรอ,0
47,"Fair enough, anything going on?",ยุติธรรมดี มีอะไรเกิดขึ้นไหม,0
48,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",เย้ หวังว่านะ หากไทเลอร์ทําไม่ได้ฉันอาจจะลองถามดูสักหน่อย,0
49,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,เธอไม่รู้ว่าฉันดื้อแค่ไหน ฉันไม่อยากไปโรงพยาบาลเลย ฉันบอกมาร์คตลอดว่าฉันไม่ใช่คนดูดที่อ่อนแอ โรงพยาบาลสําหรับคนที่อ่อนแอ,0
50,What you thinked about me. First time you saw me in class.,เห็นฉันครั้งแรกในห้องเรียน,0
51,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;","กรัมมักจะทํางานเหมือน & lt; # & gt;, ครึ่งแปดฉลาดกว่าแม้ว่าและได้รับเกือบหนึ่งวินาทีสําหรับ & lt; # & gt;",0
52,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,เค สําหรับข้อมูลของเธอนะ เอ็กซ์มีรถมารับพรุ่งนี้เช้าแต่เขามาค้างที่บ้านของพวกเราคืนนี้นะ,0
53,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""","ว้าว ฉันไม่เคยรู้เลยว่าเธออายการรับรองของเธอ ฉันนึกว่าเธอชอบมัน ตั้งแต่ฉันทําดีที่สุดแล้วและเธอดูมีความสุขเกี่ยวกับ \""ถ้ํา\"" ฉันขอโทษนะฉันไม่ได้และไม่มีอะไรให้มากกว่านี้ ฉันขอโทษที่ฉันเสนอ ฉันขอโทษที่ห้องของเธอน่าอายมาก""",0
55,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,เมื่อวานนี้เธอรู้หรือไม่ว่าเดฟลินทําอะไรอ่ะ หาตอนนี้ที่ & lt; ที่อยู่ URL & gt;,0
57,"Sorry, I'll call later in meeting.",ขอโทษนะ ฉันจะโทรหาทีหลังในการนัดพบ,0
58,Tell where you reached,บอกทีว่าเธอถึงที่ไหน,0
59,Yes..gauti and sehwag out of odi series.,ใช่....ซีรี่ย์และซีรี่ย์สที่ออกจากซีรี่ย์ เอ็นจีบี,0
60,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,เธอจะต้องซื้อเบอร์เกอร์ 1 เหรียญ สําหรับตัวเองตอนกลับบ้าน ฉันขยับไม่ได้ ปวดจะตายอยู่แล้ว,0
61,Ha ha ha good joke. Girls are situation seekers.,ฮ่าฮ่าฮ่า ตลกดี ผู้หญิงคือผู้แสวงหาสถานการณ์,0
62,Its a part of checking IQ,มันเป็นส่วนหนึ่งของการตรวจสอบ IQ,0
63,"Sorry my roommates took forever, it ok if I come by now?",ขอโทษนะรูมเมทของฉันใช้เวลาตลอดไป มันโอเคนะถ้าฉันไปตอนนี้,0
64,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,โอเค ฉันตรวจสอบกับช่างทําผมอีกครั้งแล้วเขาบอกว่าจะไม่สั้นมาก เขาบอกว่าจะตัดจนฉันดูดี,0
66,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""","วันนี้คือ \""เพลงวันเฉพาะ.. เพลงไหนที่เธออุทิศให้ฉันอ่ะ ส่งนี่ให้เพื่อนที่มีค่าของเธอทุกคนแต่ก่อนอื่นตอบฉัน...""",0
69,I plane to give on this month end.,ฉันขึ้นเครื่องให้สิ้นเดือนนี้,0
70,Wah lucky man... Then can save money... Hee...,ว้า โชคดีจังพวก...งั้นประหยัดเงินได้...(ขํา)...,0
71,Finished class where are you.,เรียนเสร็จแล้ว เธออยู่ที่ไหนเหรอ,0
72,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,ไงที่รัก ฉันอยู่ที่บ้านตอนนี้อยากจะทําอะไรไหม,0
73,K..k:)where are you?how did you performed?,เค...เค เธออยู่ที่ไหนเหรอ เธอแสดงยังไงเหรอ,0
74,U can call me now...,เธอโทรหาฉันได้ละตอนนี้...,0
75,I am waiting machan. Call me once you free.,ฉันรอมาจัน โทรหาฉันเมื่อเธอว่างนะ,0
76,Thats cool. i am a gentleman and will treat you with dignity and respect.,ดีเลยค่ะ ฉันเป็นสุภาพบุรุษและจะปฏิบัติต่อคุณอย่างมีเกียรติและความเคารพค่ะ,0
77,I like you peoples very much:) but am very shy pa.,ฉันชอบคุณมาก :) แต่ฉันขี้อายมากพ่อ,0
78,Does not operate after  &lt;#&gt;  or what,ไม่ทํางานหลังจาก & lt; # & gt; หรืออะไร,0
79,Its not the same here. Still looking for a job. How much do Ta's earn there.,มันไม่เหมือนกันที่นี่อ่ะ ยังหางานอยู่ ทาได้เท่าไหร่ที่นั่นอ่ะ,0
80,"Sorry, I'll call later",ขอโทษนะ ฉันจะโทรหาทีหลังนะ,0
81,K. Did you call me just now ah? ,เค เธอโทรหาฉันเมื่อกี้เหรอ,0
82,Ok i am on the way to home hi hi,โอเค ฉันกําลังกลับบ้าน สวัสดี,0
83,You will be in the place of that man,คุณจะอยู่ในสถานที่ของชายคนนั้น,0
84,Yup next stop.,ใช่ ป้ายถัดไป,0
85,"I call you later, don't have network. If urgnt, sms me.",ฉันโทรหาคุณทีหลัง ไม่มีเครือข่ายนะ ถ้าด่วน ส่งข้อความหาฉัน,0
86,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,ของจริงเมื่อเธอขึ้นเหรอ ฉันต้องการตั๋วอีก 2 ใบและแจ็กเก็ตอีก 1 อันและฉันก็ทําเสร็จแล้ว ฉันใช้เบอร์ของฉันทั้งหมดแล้ว,0
87,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,ใช่ฉันเริ่มส่งคําร้องขอเพื่อทํามันแต่ความเจ็บปวดกลับมาดังนั้นฉันกลับมานอนละ เหรียญสองเท่าที่โรงงานเช่นกัน ฉันต้องใช้เงินไนโตรของฉันทั้งหมด,0
88,I'm really not up to it still tonight babe,ฉันยังไม่ถึงคืนนี้จริงๆอ่ะที่รัก,0
89,"Ela kano.,il download, come wen ur free..",เอลา ลา ลาลาลา ฉันจะดาวน์โหลด มาเมื่อเธอว่างนะ...,0
90,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,ใช่ทํา อย่ายืนเพื่อปิดเธอ ฉันจะจับบางอย่าง,0
91,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,ขอโทษที่ต้องเจ็บปวดนะ จะเป็นไรไหมหากพวกเราเจอกันวันอื่นอ่ะ ฉันใช้เวลาช่วงบ่ายในการบาดเจ็บและนั่นหมายความว่าฉันไม่ได้ทํา วาย พีเอสเอและนั่นรวมถึงแผ่นเวลาทั้งหมดของฉันและนั่น ขอโทษทีนะ,0
92,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ยิ้มในความสุข รอยยิ้มในความเจ็บปวดเมื่อปัญหาเทเช่นฝนยิ้มเมื่อเจ็บปวดเธอยิ้มเพราะใครบางคนยังรักที่จะเห็นเธอยิ้ม,0
94,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,ยังไม่ได้วางแผนที่จะซื้อในภายหลัง ฉันตรวจสอบแล้วลิโดมีการแสดงแค่ 530 ตอนบ่าย เธอทํางานเสร็จแล้วเหรอ,0
96,Watching telugu movie..wat abt u?,กําลังดูหนังอยู่...แล้วเธอละ,0
97,i see. When we finish we have loads of loans to pay,เข้าใจละ เมื่อเราเสร็จพวกเรามีเงินกู้จํานวนมากที่จะจ่าย,0
98,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""","ไง วันหยุดของเธอโอเคนะตอนนี้ ใช่สําหรับวิ่งนิดหน่อย ลืมไปเลยว่าฉันมีนัดตอนสี่โมงเย็นดังนั้นต้องกลับบ้านและอาบน้ําก่อน นั้นทําให้เธอมีปัญหาอะไรเหรอ \""แฮม\""",0
99,Please don't text me anymore. I have nothing else to say.,ได้โปรดอย่าส่งข้อความหาผมอีก ผมไม่มีอะไรจะพูดแล้ว,0
100,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,โอเค บอกราคาของเธอตราบใดที่มันถูกกฎหมาย ฉันจะไปรับพวกเขาได้เมื่อไหร่นะ ทําไมเธออเวนิว xxxxxxxxx,0
101,I'm still looking for a car to buy. And have not gone 4the driving test yet.,ฉันยังคงมองหารถที่จะซื้อ และยังไม่ได้ไปสอบขับรถเลยอ่ะ,0
102,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ตามคําขอของคุณ 'scription scriptions' ได้รับการตั้งค่าเป็น 'scriptions ของคุณสําหรับทุก scription. กด *9 เพื่อคัดลอกเพื่อนของคุณ.',0
103,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",ว้าว เธอพูดถูกละ ฉันไม่ได้ตั้งใจจะทําอย่างนั้นนะ ฉันเดาว่าครั้งหนึ่งฉันยอมแพ้ที่บอสตันเม็นและเปลี่ยนสถานที่ค้นหาของฉันไปเอ็นวายซี บางอย่างเปลี่ยนไปละ เพราะในหน้าของฉันมันยังบอกว่าบอสตัน,0
104,Umma my life and vava umma love you lot dear,อืม ชีวิตของฉันและอัมมาอัมมารักเธอมากนะที่รัก,0
105,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,ขอบคุณมากสําหรับความปรารถนาของคุณในวันเกิดของฉัน ขอบคุณที่ทําให้วันเกิดของฉันน่าจดจําอย่างแท้จริง,0
106,"Aight, I'll hit you up when I get some cash",ก็ได้ ฉันจะตีเธอเมื่อฉันได้เงินนะ,0
107,How would my ip address test that considering my computer isn't a minecraft server,การทดสอบที่อยู่ไอพีของฉันได้อย่างไรว่าคอมพิวเตอร์ของฉันไม่ใช่เซิร์ฟเวอร์ minecraft,0
108,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,ฉันรู้ คนแก่ไม่พอใจ แม่ของฉันเหมือนเธอไม่ควรโกหก แล้วอีกครั้งฉันเป็นคนที่เล่นตลกเสมอ...,0
109,Dont worry. I guess he's busy.,ไม่ต้องห่วง ฉันคิดว่าเขายุ่งละ,0
110,What is the plural of the noun research?,พหูพจน์ของคํานามที่ค้นคว้าคืออะไร?,0
111,Going for dinner.msg you after.,จะไปหาเธอทีหลังนะ,0
112,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,ฉันโอเคกับมันเพราะฉันชอบลองสิ่งใหม่ ๆ แต่ฉันกลัวเธอไม่ชอบ เพราะเธอบอกว่าไม่ดังเกินไป,0
114,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",ว้า ประโยคของเธอเป็นทางการมาก...ยังไงก็ตาม ฉันก็สบายดีเหมือนกัน แค่ฉันกินมากเกินไปและใส่น้ําหนัก...(หัวเราะ)...แล้วมีอะไรพิเศษไหม,0
115,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","ขณะที่ฉันเข้าไปในกระท่อมของฉันพีเอของฉันกล่าวว่า ""สุขสันต์วันเกิดบอส"" ฉันรู้สึกพิเศษ หล่อนชวนฉันกินข้าวกลางวัน หลังจากอาหารกลางวันหล่อนชวนฉันไปที่อพาร์ตเมนต์ของหล่อน พวกเราไปที่นั่น",0
117,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,เย้ ใช่พวกเราต้องพูดวันศุกร์ - อัตราส่วนทอร์ทิย่าที่จําเป็น,0
118,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,ฮืม...ลุงของฉันเพิ่งบอกฉันว่าเขาจ่ายให้โรงเรียนโดยตรง ดังนั้นช่วยซื้ออาหารทีนะ,0
121,here is my new address -apples&pairs&all that malarky,นี่คือที่อยู่ใหม่ของฉัน 9834 & คู่และทั้งหมด 9834,0
123,I am going to sao mu today. Will be done only at 12 ,ฉันจะไปเซา เอ็มยูวันนี้ จะเสร็จตอน 12 โมงเท่านั้น,0
124,ÌÏ predict wat time Ì_'ll finish buying?,(หัวเราะ) ทํานายว่าซื้อเสร็จกี่โมงเหรอ,0
125,"Good stuff, will do.",สิ่งที่ดีจะทํา,0
126,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",แค่เพื่อให้เธอรู้นะ เธอยังไม่ได้ส่งเงินเลยอ่ะ ฉันเพิ่งส่งข้อความให้หล่อนเพื่อไม่รบกวนการส่ง ดังนั้นมันจบแล้ว เธอไม่ต้องเกี่ยวข้องกับอะไรทั้งสิ้น ฉันไม่ควรบังคับอะไรกับเธอตั้งแต่แรก ดังนั้น ฉันขอโทษนะ,0
127,Are you there in room.,คุณอยู่ในห้องรึเปล่า?,0
128,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,เฮ้ เกิร์ล เธอสบายดีไหม หวังว่าเธอจะดีกับฉันนะ ให้เวลาฉันอีกนานนะที่ไม่มีซี โทรหาฉันด้วย SUM เวลาจากเอสดีบี,0
129,K..k:)how much does it cost?,เค...เค ราคาเท่าไหร่เหรอ,0
130,I'm home.,กลับมาแล้วค่ะ,0
131,"Dear, will call Tmorrow.pls accomodate.",ที่รัก จะโทร.หาช่างซ่อมให้นะ,0
132,First answer my question.,ตอบคําถามฉันก่อน,0
135,I only haf msn. It's yijue@hotmail.com,ฉันมีเอ็มเอสเอ็นเท่านั้น มันคือยี่จือ แอท ฮอทเมล์ ดอท คอม,0
136,He is there. You call and meet him,เขาอยู่ที่นั่น คุณโทรหาเขาและพบเขา,0
137,No no. I will check all rooms befor activities,ไม่ ไม่ละ ฉันจะตรวจสอบทุกห้องเพื่อทํากิจกรรม,0
139,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,เข้าใจละ...ฉันขี้เกียจพิมพ์...ฉันลืมเรียนละ...ฉันเห็นกระเป๋าแต่ไม่ค่อยดีเท่าไหร่....,0
140,"K, text me when you're on the way",เค ส่งข้อความหาฉันเมื่อเธอกําลังไปนะ,0
141,"Sir, Waiting for your mail.",คุณครับ รอจดหมายคุณอยู่,0
142,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""","ความคิดที่น่ารัก:...ฉันเบื่อที่จะทําสิ่งเล็ก ๆ น้อย ๆ เพื่อคนที่น่ารัก...เพราะ...เพราะสิ่งที่เล็ก ๆ น้อย ๆ เหล่านั้นครอบครองส่วนที่ใหญ่ที่สุดในหัวใจของพวกเขา...ฝันดีนะ""",0
143,I know you are. Can you pls open the back?,ฉันรู้เธออยู่ เธอช่วยเปิดด้านหลังหน่อยได้ไหม,0
144,Yes see ya not on the dot,ใช่ แล้วเจอกันที่จุด,0
145,Whats the staff name who is taking class for us?,พนักงานชื่ออะไรที่ลงเรียนให้พวกเราอ่ะ,0
147,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,กาตาร์โทรมาหลังจากตรวจสอบชีวิตกาตาร์จะเริ่มต้นจากกาตาร์ดังนั้นช่วยภาวนาให้หนักหน่อยนะ,0
148,K..i deleted my contact that why?,เค...ฉันลบเบอร์ติดต่อของฉันทําไมเหรอ,0
149,Sindu got job in birla soft ..,(หัวเราะ) ได้งานละ นุ่มจัง...,0
150,The wine is flowing and i'm i have nevering..,ไวน์กําลังไหล และฉันมียาแก้ปวด...,0
151,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,ใช่ ฉันคิดว่าโรงหนังดีกว่าเพราะไม่ต้องลงไปที่พลาซ่า,0
152,Ok... Ur typical reply...,โอเค...การตอบกลับปกติของเธอ...,0
153,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ตามคําขอของคุณ 'scription scriptions' ได้รับการตั้งค่าเป็น 'scriptions ของคุณสําหรับทุก scription. กด *9 เพื่อคัดลอกเพื่อนของคุณ.',0
154,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",เธออยู่ทุกๆที่สกปรก บนพื้น หน้าต่าง แม้แต่บนเสื้อของฉัน และบางครั้งเมื่อฉันเปิดปาก เธอคือทั้งหมดที่ไหลออกมา ฉันฝันถึงโลกของฉันโดยไม่มีเธอ แล้วครึ่งหนึ่งของงานบ้านของฉันก็หมดเช่นกัน เวลาแห่งความสุขของฉัน ทีวีโชว์มากมายที่ฉันเห็น แต่ฉันเดาว่าเหมือนทุกสิ่งที่เธอมีอยู่ เช่น ฝน ลูกเห็บและหมอก และเมื่อเวลาของฉันที่นี่เสร็จ เธอและฉันกลายเป็นหนึ่งเดียว,0
155,Aaooooright are you at work?,เธออยู่ที่ทํางานเหรอ,0
156,I'm leaving my house now...,ฉันจะออกจากบ้านของฉันตอนนี้ ...,0
157,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",สวัสดีที่รัก เธอทําอะไรอยู่เหรอ เธอได้สัมภาษณ์วันนี้ไหม เธอมีความสุขไหม เธอเป็นเด็กดีใช่ไหม เธอคิดถึงฉันไหม เธอคิดถึงฉันไหม,0
160,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,ดูแลตัวเองให้ปลอดภัยนะ เพราะฉันต้องการเธอ และฉันคิดถึงเธอแล้ว และฉันอิจฉาทุกคนที่เห็นคือเธอในชีวิตจริง,0
161,New car and house for my parents.:)i have only new job in hand:),รถและบ้านใหม่สําหรับพ่อแม่ของฉัน :) ฉันมีงานใหม่ในมือเท่านั้น :),0
162,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,ผมรักคุณมาก ผมตื่นเต้นในแต่ละวันที่ผมอยู่กับคุณ คุณทําให้ผมมีความสุขมาก,0
165,I place all ur points on e cultures module already.,ฉันวางคะแนนทั้งหมดของเธอในโมดูลวัฒนธรรมแล้ว,0
167,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",ไงเพื่อน ทางไหนดีที่สุดที่จะหลีกเลี่ยงความเศร้ากับคนรักของพวกเราอ่ะ,0
168,Great escape. I fancy the bridge but needs her lager. See you tomo ,ทางหนีที่ดี ฉันแฟนบริดจ์แต่ต้องการเบียร์ของเธอ แล้วเจอกันพรุ่งนี้นะ,0
169,Yes :)it completely in out of form:)clark also utter waste.,ใช่ :) มันอยู่นอกกรอบอย่างสมบูรณ์ :) คลาร์กก็เสียเปล่าที่สุดเช่นกัน,0
170,"Sir, I need AXIS BANK account no and bank address.",ท่านครับ ผมต้องการเลขบัญชีธนาคารเอซิส และที่อยู่ธนาคาร,0
171,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",ฮืม...คิดว่าแน่ใจว่ามีเวลาไปรอบๆนะ...ใช่ ว่างไปประมาณ...ต้องโทรหาเธอเพื่อปรึกษาแล้ว...,0
172,What time you coming down later? ,เธอจะลงมาทีหลังกี่โมงเหรอ,0
173,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",บ้าจริง ไม่อยากจะเชื่อเลยว่าเธอลืมนามสกุลของฉันมิสเตอร์ ฉันจะบอกใบ้เธอ มันเป็นภาษาสเปนและเริ่มต้นด้วยเอ็ม...,0
