,text,is_spam
42,พวกชังชาติ พวกที่ไม่เคยนึกถึงประเทศชาติ นึกถึงแต่ประโยชน์ของตัวเองและพักพวก,1
43,ดีมากครับ,1
44,"กูอยากเข้าแก๊งเมดแตด555
#อิช่อ
#อนาคตดับ",1
45,แล้วคุณอ่ะ ชี้แจงเรื่องเงินที่ได้จากการขายเสื้อไปยังค้าบ,1
46,#กองทัพบกห่วงใยประชาชน,1
47,ทรงพระเจริญ,1
48,อีเวร เปรตส่งมาเกิด,1
49,สู้ๆนะท่าน,1
50,หุ่นดีมากเลย,1
51,55555  แถไปเรื่อย ด่าคนอื่นได้ แต่คนอื่นด่าไม่ได้สินะ ปชต. นี่มัน ปชต. จริงๆ,1
52,ประจวบคีรีขันธ์-ระดมทหารสร้างอาคารโรงเรียนถิ่นทุรกันดาร https://t.co/H52btIe77gประจวบคีรีขันธ์-ระดมทหารสร้างอาคารโรงเรียนถิ่นทุรกันดาร/,1
53,พรรคนี้อยู่ยาก,1
54,เฝ้าระวังกันด้วยนะครับ,1
55,ขอขอบคุณเจ้าหน้าที่ทหาร ที่ได้ปกป้องตามเเนวชายเเดนอย่างเต็มความสามารถครับ,1
56,"คนบ้า รุ่นใหม่
#พรรคอนาคตไหม้ https://t.co/LAwBlShTYp",1
57,ยึดไอซ์ ยาบ้า,1
58,เผยโฉมขีปนาวุธอิหร่านใช้ถล่มฐานสหรัฐในอิรัก https://t.co/AWh75o2H12 ผ่าน @posttoday,1
59,"ทบ.ตั้งคณะกรรมการตรวจสอบกิจการสวัสดิการ  คลี่คลายข้อสงสัย พร้อมเดินหน้ายกมาตรฐานให้ดีขึ้น
https://t.co/nlD14oOLWq https://t.co/4EwOj3rYZR",1
60,อยากเห็นพรรคอนาคตใหม่โดนยุบ,1
61,สมควรพวกมึงไอ้สนตีน หาเรื่องคนอื่นโดยสร้างเรื่องเท็จ สมควรแล้วพวกมึงจะตีกัน พวกจัญไร,1
62,เป้นกำลังใจให้รัฐบาลนะ,1
63,ยินดีกับท่านนายกนะ ที่ได้ไปต่อ,1
64,ส.ส.หัวควย,1
65,ตรวจไห้ดีๆคะ,1
66,เพื่อช่วยเหลือมนุษย์ด้วยกันนะคะ,1
67,ขอไห้ประเทศเราป้องกันไห้ดีคะ,1
68,https://t.co/ZU61mOLxFt,1
69,#กองทัพบก,1
70,มันมีผู้ติดเชื้อ แต่มีคนบางพวกเรียกร้องให้จอดเลยจร้า,1
71,#ทรงพระเจริญ,1
72,ทรงพระเจริญ,1
73,#ธนาธรจึงรุ่งเรืองกิจ,1
74,"#ประชาธิปไตยจอมปลอม
#ความเน่าเหม็นในอนาคตใหม่",1
75,คิดว่า อยู่ริมทะเท 😉😉🤘🤘👉👉 #ตลาดรถไฟ 👈👈 https://t.co/qTANLjyRRV,1
76,#ทหารช่วยเหลือประชาชน,1
77,-..-!!,1
78,https://t.co/VpLaZG1ofh,1
79,ขอบคุณมากเลยคะที่ช่วยเจ้าหน้าที่คะ,1
80,เขาคือวีระบุรุษที่เสียสละน่ายกย่องคะ,1
81,ต้องดูแลไห้ดีคะ,1
82,ขอไห้ปลอดภัยนะคะ,1
83,กองทัพเขามีมาตรการควบคุมอยู่แล้ว,1
84,https://t.co/ZMBJ5PCAsL https://t.co/FFQFQNp42s,1
85,น่าสงสารรัฐบาลจัง ทำไรก็ผิดตลอดเลย,1
86,เด็กเวร ทำไมปากดีจังว่ะ,1
87,"ข่าวปลอมครับ
ใช้วิจารณญาณในการวิเคราะห์ด้วยน่ะครับ
ควรเชื่อแหล่งข่าวที่เชื่อถือได้
#ไวรัสโคโรนา
#ไวรัสอู่ฮั่น
#รัฐบาลเตรียมพร้อม
#เสพสื่ออย่างมีสติ
#อย่าตื่นตระหนก
#Fakenews
#ข่าวปลอม",1
88,"RT @pakornwut: ท่าน รมต. โทษเกมอีกแล้วครับ .. 
มาฟังพี่วิโรจน์ฟาดต่อเลยครับ ว่ามูลเหตุมาจากการเอารัดเอาเปรียบทหารชั้นผู้น้อย ในปมที่ดิน 

#…",1
89,บิดเบือนไปทั่ว,1
90,พรรคตลอดชีวิต 555 #ช่วยธนาธรตั้งชื่อพรรครอบสอง,1
91,เจ็บหนัก เลสเตอร์...,1
92,https://t.co/29ul3ZE3uv,1
93,@pakornwut @thestandardth ความรู้ใหม่นะนิ 555. หามาจากไหน,1
94,ขอให้เหตุการร้ายๆจงสงบ,1
95,"⛏💦ทบ.ยังคงเร่งขุดเจาะบ่อบาดาลต้านแล้ง ล่าสุด รอง ผบ.ทบ.ลงพื้นที่ร่วมกิจกรรมจิตอาสา สนับสนุนการขุดเจาะที่ จ.ลพบุรี....
https://t.co/MlY52l7Vmb https://t.co/1b5DbJHHXz",1
96,ส.ว.'วันชัย'รู้ทัน'ธนาธร' ขอขยายเวลาส่งเอกสาร หวังดึงเกมถูกยุบพรรค https://t.co/1s8aYK1NOd,1
97,"""ช่อ- ปิยุบตร ""เทหมดหน้าตักโทษสื่อ กล่าวหากกต. ขบวนการนิติสงครามทำลายล้าง""ธนาธร"" https://t.co/p1g1eTXfMp",1
98,https://t.co/qSaiWHW3Ro,1
99,#ทรงพระเจริญ,1
100,บรรเทาปัญหาน้ำ,1
101,https://t.co/vUoUoJdW1T,1
102,ขอแสดงความเสียใจกับเหยื่อคนร้าย,1
103,https://t.co/iI22ALKEDc,1
104,ตั้งแต่เล่น #MHWIB นอนดึกทุกคืนเลยค้าบ,1
105,หิว,1
106,อรุณสวัสดิ์ครับ,1
107,อยู่ไม่ได้แล้วจ้า   มึงอยู่คนเดียวเถอะไอ้หมู...เอ้ยเพนกวิน,1
108,สื่อแบบนี้ก็มี...ทหารลาออกจากตำแหน่งได้ด้วยหรอ,1
109,#กองทัพช่วยเหลือประชาชน,1
110,เป็นแบบอย่างที่ดีมากเลยสำหับน้องๆพลทหาร https://t.co/kYLAJpsPHh,1
111,เยี่ยมมากคะทหารแจกหน้ากากคะ,1
112,#ทหารช่วยเหลือประชาชน,1
113,https://t.co/qjoUa8wJ09 https://t.co/xP43YNsexs,1
114,ส้มดูไว้,1
115,จัดไปอีกหมัด,1
116,กลับบ้านไปกินแคลเซี่ยมนะป้า ดูหนังก่อนนอนนะจะได้ฝันดี,1
117,พูดจริง  ทำจริง สุดยอดครับ,1
118,ขอชื่นชมครับ ทำดีต่อไปครับ,1
119,ความจริง เป็นสิ่งไม่ตาย,1
120,https://t.co/MNIYm6rIWO,1
121,"การเปลี่ยนแปลงนั้น นำไปสู่สิ่งที่ดี ที่สำคัญต้องเป็นไปโดยความสมัครใจพร้อมเพรียงของคนทั้งชาติ ไม่ว่าจะรุ่นเก่า-รุ่นใหม่
เสี่ยง..เพราะความดื้อรั้น? https://t.co/CNOixcrDhE",1
122,เยี่ยมมากเลยคะ,1
123,#NewProfilePic,1
124,https://t.co/e8lYV5LYLl กลัวไว้บ้างก็ดี #อนาคตไหม้,1
125,เยี่ยมเลยคะพัฒนาไห้ดีขึนคะขอเป็นกำลังใจไห้คะ,1
126,เขามีกำหนดจ่ายน้ำกันอยู่นะคะ,1
127,เขาแนะวิธีหาที่สมัครงานคะ,1
128,@MaisonWanvipa เสียใจด้วยนะ ที่พรรคจะโดนยุบแล้ว,1
129,เลิกทำให้มันวุ่ยวายไปมากกว่านี้เลยนะ,1
130,เรารักทหาร รักสถาบัน แต่เราเกลียดพวกชังชาติพวกพรรคอนาคตเน่า พวกขยะสังคม,1
131,เป็ยกิจกรรมที่ดีนะ ร่างกายก็แข็งแรงด้วย,1
132,เพื่อป้องกัน ระวังกันด้วยนะ https://t.co/f5yJ95WfnZ,1
133,สำรวจไฟป่า,1
134,ดับเหตุเพลิงไหม้,1
135,พัฒนาวัดพระธาตุภูซาง,1
136,มาดามเดียร์ ติด#ไม่รู้ให้ถาม ย้ำชัดขายหุ้นสื่อก่อนยื่นใบสมัคร กกต. https://t.co/Isy28C1l3j,1
137,https://t.co/nw5AxlyXWN,1
138,#ใครใช้ให้มาดู,1
139,ตามนั้นเลยครับ,1
140,5555 สงสัย เมื่อไหร่จะถึง,1
141,สิ่งเหล่านี่แหล่ะที่ #ติ่งส้ม #อนาคตจอมปลอม ไม่เคารพ ไม่เห็นด้วยตามหลักประชาธิปไตย,1
142,"พวกพรรคสีส้มกำลังทำให้คนในชาติทะเลาะกัน

https://t.co/iHTZJlSUUl",1
143,"#สดุดีความกล้าหาญ ของ มทภ2. พลโท ธัญญา เกียรติสารและ
ขอแสดงความเสียใจ กับครอบครัวผู้เสียชีวิต ทุกคนนะครับ ขอชื่นชมเจ้าหน้าที่ที่ปฺฎิบัติงานอย่างเต็มที่ เรื่องที่เกิด
เป็นเรื่องของบุคคลนั้น ๆ อย่าเหมาร่วมถึงองค์กรฯ
#ขอแสดงความเสียใจกับครอบครัวผู้เสียชีวิตด้วยครับ",1
144,ทรงผนวชในวันจันทร์ที่ 6 พฤศจิกายน พ.ศ. 2521 เวลา 15.00 น. ตรงกับวันขึ้น 7 ค่ำ เดือน 12 ปีมะเมีย ณ พัทธสีมาพระอุโบสถ วัดพระศรีรัตนศาสดาราม โดยมีสมเด็จพระอริยวงศาคตญาณ สมเด็จพระสังฆราช (วาสน์ วาสโน) เป็นพระอุปัชฌาย์ สมเด็จพระญาณสังวร (เจริญ สุวฑฺฒโน) เป็นพระกรรมวาจาจารย์ https://t.co/uOUnz28zds,1
145,เยี่ยมเลยช่วยดับไฟสู้ๆ,1
146,ทหารช่วยเหลือพี่น้องประชาชน,1
147,รีบจัดไห้มันเลยคะ,1
148,ไม่หิว,1
149,อย่าทำให้มันเป็นเรื่องใหญ่นะ,1
150,เป็นกำลังใจให้นะท่าน,1
151,อยากพยายามทำให้มันเลวร้าย,1
152,ขอพระองค์ทรงพระเจริญ,1
153,ว้าวๆๆๆๆๆๆๆๆๆ,1
154,สุดยอดไปเลย,1
155,ทรงพระเจริญ,1
156,โรงงานอุตสาหกรรม https://t.co/eSlIqxOoSM,1
157,https://t.co/WgV2vjM1jp,1
158,RT @MaisonWanvipa: มาเป็นองค์ประชุมตามเวลา ถึงแม้จะทำหน้าที่เรื่องงบประมาณไปครบถ้วนแล้ว นี่ถ้าเป็นเมื่อก่อนทำงานแล้ว #เสียบบัตรแทนกัน โดนเ…,1
159,หนูเข้าใจว่าการมีรัฐบาลที่โกงบ้านโกงเมือง เป็นที่มาของรัฐประหาร,1
160,#ทหารช่วยเหลือประชาชน,1
161,จับเอาผิดให้ได้นะคะท่าน,1
162,"จาก ""บางระจัน"" ถึง ""ลำพะยา"" https://t.co/Djal0LNmhS",1
163,ยุบมันไปเลย พวกทุเรศแบบนั้น,1
164,อย่าทำให้มันเป้นเรื่องเลย,1
165,เป็นกำลังใจให้นะ,1
166,"เป็นกำลังใจให้น่ะครับ

https://t.co/HmuryC2i4D",1
167,สำนึกในพระมหากรุณาธิคุณ.,1
168,ต่างประเทศเวลาเขาไปตลาดไม่เคยมีถุงนะบอกเลย อย่าด่ารัฐบาลเรื่องนี้ พวกคุณควรดูที่ตัวคนเองว่าเสียสละมากพอหรือยัง,1
169,อย่าทำตัวเองตกต่ำเลยนะไอ้น้อง หยุดซะเถอะ,1
170,เจริญฮวบๆ เลย,1
171,#NewProfilePic https://t.co/T0MZ6UizFH,1
172,Royer thai army.🎉 https://t.co/etWo3dqCNj,1
173,ขอสรรเสริญในความกล้าของนาย ธีระ ฉัตรนิ่ม รปภ.ห้างที่เอาชีวิตเข้่าแลกวิ่งไปกดปิดประตูอัตโนมัติจนถูกคนร้ายยิงเสียชีวิต แต่ความกล้าหาญนั้นก็ไม่สูญเปล่าเพราะมันทำให้ตำรวจได้มาซึ่งพยานหลักฐานสำคัญที่สุด คือ เหงื่อของคนร้าย นำมาสู่การจับกุม คดีชิงทอง,1
174,cool,1
175,ดีใจที่ทางกองทัพตื่นตัวเรื่องไวรัสครับ อุ่นใจเลยแบบนี้ #กองทัพบกเป็นที่พึ่งของประชาชน,1
176,https://t.co/gPVJUIBGLP https://t.co/vNGvCA3kTJ,1
177,อิอิ,1
178,เป้นกำลังใจให้นะท่าน,1
179,#ทรงพระเจริญ,1
180,https://t.co/YOSdBSTCzZ https://t.co/wfwnxowVXH,1
181,เพื่อบริหารประเทศคะ,1
182,wellcome https://t.co/H9hPws0hqk,1
183,อากาศอย่างหนาวเลย https://t.co/kbBezRA4Ph,1
184,🇹🇭ประเทศไทยจะเข้าสู่การระบาดมากหรือน้อย ขึ้นอยู่กับ “พลังอำนาจของคนไทยทุกคน “  ถ้าเริ่มมีอาการเป็นไข้ พักอยู่บ้าน รักษาตามอาการ  ถ้าเริ่มมีการหนักมากขึ้น  ต้องมาพบแพทย์ ต้องเตรียมการป้องกันกันติดต่อ เช่น  สวมหน้ากาก เตรียมเจลล้างมือ  ลดการแพร่ไปสู่คนอื่น.... https://t.co/6MfZQz2Z2b,1
185,สวัสดีนะ,1
186,เชิดชูคนดี ปี 62,1
187,"แต่งตั้ง นายวัฒนา เมืองสุข เป็นกุนซือล่วงหน้า ได้หรือไม่??
https://t.co/tYz789pk1d",1
188,https://t.co/tKqWdX5usf,1
189,ผิดก็ว่าไปตามผิดละครับ,1
190,ขอพระองค์ทรงพระเจริญ,1
191,ไม่เคารพกติกา นั่นเป็นที่มาของประชาธิปไตยแบบส้มๆ ... เฉียบบบบ,1
192,"#วันแห่งประวัติศาสตร์อันทรงคุณค่าของชาติไทย
ศูนย์รวมใจคนไทยทั้งชาติ ตั่งแต่ยุคโบราณ มาจนถึงปัจบัน ประชาชนคนไทยก็ยังจงรักภักดีต่อพระมหากษัตริย์อันเป็นประมุขของไทย มิเคยเสื่อมคลาย   #ทรงพระเจริญ
#ขบวนพยุหยาตราชลมารค
#พระราชพิธีบรมราชาภิเษกพุทธศักราช๒๕๖๒",1
193,"จะไม่ยอมให้ใครย้ำยีแผ่นดินนี้ของเราไปได้ยอมเสียเลือดเสียเนื้อเสียกลายหากต้องเสียแผ่นดิน
จะรักษาแผ่นดินของพ่อตอบแทนคุณท่านทำให้เรามีกินประเทศสยามจะจำเนินไม่สิ้นแผ่นดินขวานทอง",1
194,@pakornwut ไม่อยากให้เกิดขึ้น,1
195,เด็กพปชร. งัดคดีเก่าตอกกลับ หมวดเจี๊ยบ ระวังปาก https://t.co/FmBkz6giWz,1
196,#วีรบุรุษนาเก๊ #วัฒนาเอื้ออาทร,1
197,กองทัพบกดูแลผู้ใช้บริการ10สนามบินทั่วประเทศ,1
198,น่าเบื่อจริง,1
199,เป็นกำลังให้เจ้าหน้าทำงานนะ,1
200,ความยุติธรรมนะ,1
201,แก่แล้วก็อยู่บ้านเฉยๆนะสัส,1
202,อย่าำให้เป็นเรื่องใหญ่นะ,1
203,ท่านยืนยันว่าไม่หยุดแล้วครับ,1
204,ไม่น่ารอด พรรคส้มเน่า,1
205,สมควรยุบพรรค ดิ้นกันจัง,1
206,คนไทยต้องรักสามัคคีกันไว้,1
207,"การฝึกแลกเปลี่ยนความรู้ ระหว่าง ทหารไทย และ ทหาร สหรัฐอเมริกา Cross Training Exercise (CTX) สถานีที่ ๒ ดำรงชีพในป่า ณ สนามฝึกยุทธวิธี ทภ.๓ บ้านด่านลานหอย จ.สุโขทัย...

https://t.co/npbg8b2AvZ https://t.co/bmRUfysrMg",1
208,สู้ๆนะพี่ทหาร,1
209,ทำขายสิใบละ250บาท   รัฐจะได้สนับสนุน  ลดไปตั้ง350  เข้าท่าทำเลยเกรดแบบที่รัฐบาลจัดหานะ  อย่าพูดมากกว่าทำ  มือไม่พายอย่าเท้าราน้ำ  #ติ่งสีส้ม,1
210,"เฮ้เธอ  ทวิตนี้ข่าวบิดเบือนเยอะนะ
ต้องใช้สติมากๆ
#ทีมงานอนาคตใหม่",1
211,นักเขียนดังข้องใจ 'วิ่งไล่ลุง' ขอชัดๆลุงมีความผิดอะไรถึงต้องไล่ลุง หรือเพราะเขาว่ามา ก็เลยว่าตาม? - https://t.co/OtPazIUlfT,1
212,"ความน่าเชื่อถือของไทย(การลงทุน)

https://t.co/wzOwnNxo3g",1
213,เอาตรงๆนะมึงทำอะไรดีๆให้ประเทศบ้าง,1
214,เออ เอามันให้สุด จัดไปจร้าาา,1
215,RT @pakornwut: https://t.co/2aVs1XJOMb,1
216,ป้ายกองเชียร์ไทยได้ใจชาวออสเตรเลีย ฟีฟ่าและชาวออสเตรเลียต่างออกมาชื่นชมป้ายที่ให้กำลังใจประเทศออสเตรเลีย https://t.co/jwih7CI781,1
217,https://t.co/xnm8h9ivgm,1
218,https://t.co/UuqMxGTLuu,1
219,โป๊ะแตกแหกกระเจิง,1
220,อิปลอบบ ชอบสร้างกระแส โดนซะบ้าง,1
221,"รีบๆยุบหน่อย
#พรรคนี้จำไม่ค่อยได้ 
#ต่างคือตาย 
#พรรคอนาคตไหม้ 
#ประชาธิปไตยจอมปลอม
#ความเน่าเหม็นในอนาคตใหม่
#ธนาธรนายกโลกโซเชียล https://t.co/vwwpr00Sen",1
222,#ขอพระองค์ทรงพระเจริญ,1
223,"ยังไม่มีการประชุมแต่ผลการประชุมออกมาแล้ว  แบบนี้เรียกมติที่ประชุมได้ไง  แบบนี้เรียกว่าประพฤติมิชอบน่าจะถูกต้องมากกว่านะ
https://t.co/GL5N9g4piD https://t.co/cFptoCdRmW",1
224,#ประชุมสภา #อนาคตใหม่ https://t.co/cUDcFurbeo,1
225,https://t.co/912giuiLtY,1
226,รู้ๆอยู่น่าจะทำไห้เรียบร้อยนะคะจะไม่ได้มีปัญหา,1
227,ดีแล้วคะเราต้องช่วยเหลือกันคะ,1
228,เราจงร่วมกันป้องกันไห้ดีคะ,1
229,"ตามล่าอีเด็กเปรตนี่กันค่ะ
https://t.co/EGxnHPqrVG",1
230,"อย่างน้อยมึงก็สงสารเด็กมันบ้างสิ อิห่า
https://t.co/Xr0MBpajTu",1
231,กระสุนยางนิ อีกอย่างนี่มันเป็นการสลายม็อปนี่ คนละอย่างกับกราดยิงเด้อ,1
232,#ยุบอนาคตใหม่,1
233,ถ้ามีน้ำแดงราดนี่แจ่มเลยค่ะ ^^ https://t.co/kuwJneeQ4y,1
234,"[FULL] อยู่ ""ไหม้"" เป็น...จุดตาe คดีหุ้น ""วีลัคมีเดีย"" | ขยี้คดีโกง | 10... https://t.co/ncQSmXIWlb via @YouTube",1
235,ก็มันไม่มีประโยชน์ไง มีแต่เสียดับเสีย พวกมีสมองอะคิดมั่งสิวะ #พรรคสวะอนาคตดับ,1
236,บรรจุหน้ากากอนามัย #หน้ากากอนามัย #หน้ากากกันฝุ่น #pm2.5 #โคโรน่า #กองทัพบกเพื่อประชาชน,1
237,คำคม... คมจนบาดมั้ยละ,1
238,มึงยังกล้าพูดเรื่องหลักฐานอีกนะอีช่อ หัวหน้าพรรคมึงยังจำอะไรไม่ได้เลย #พรรคนี้อยู่ยาก,1
239,กูไม่มีวันลืมสันดาน ส.ส.ชังเจ้าชังชาติ #อีช่อหนักแผ่นดิน https://t.co/aYYLqJoxmW,1
240,เป็นยิ้มที่ทำลายล้างประเทศชาติ,1
241,ดับไฟลามทุ่ง #กองทัพบกเพื่อประชาชน,1
242,"สังคมทหารไม่ใช่สังคมศักดินา
ไม่มีนาย ไม่มีบ่าว ไม่ใช่สังคมชั้นสูง
มีผู้บังคับบัญชา กับผู้ใต้บังคับบัญชา
เพราะทหารเป็นสังคมที่ติดอาวุธ
ไม่ใช่สังคมทาส แต่เป็นสังคมเพื่อนคู่ชีวิต
ซึ่งตายด้วยกัน และตายแทนกันได้....
https://t.co/6il0bkkwpm https://t.co/89CDcjdjVE",1
243,กินลม กางเต้นท์กัน...😉 https://t.co/1GoMLYWQnQ,1
244,"นักศึกษาหรือโจร มันมากกว่าการเมืองไปใหญ่แล้ว พวกสารเลว
#กูสั่งให้มึงเข้าสภา 
#ซันนี่เป็นสลิ่มหรอ 
#รัฐปาตานี https://t.co/zEVmscvg0j",1
245,"ใครไม่เห็นด้วยก็ว่าเค้าเป็นสลิ่ม นี่มัน IO ทหารใช่มั้ยวะ 555
#ซันนี่เป็นสลิ่มหรอ",1
246,สุดยอดครับ วิธีหาเงินใช้ง่ายๆ 555 #ประชุมสภา,1
247,"ทำแบบนี้ไม่ดีน่ะค่ะ

https://t.co/iVp2seo1tX",1
248,ทรงพระเจริญ,1
249,บริจาคเลือด,1
250,https://t.co/iIndiASEI7,1
251,ทหารช่วยเหลือประชาชนคะ,1
252,ขอไห้เห็นแก่ประเทศและประชาชนคะ,1
253,#ทหารช่วยเหลือประชาชน,1
254,กอดตัวเอง,1
255,อยากกกกกก กินอะ,1
256,เห้ออออ,1
257,สงไสมันหนักหัวมันมั้งอีนี่,1
258,พร้อมรับมือออ,1
259,อันนี้ดียุนาาาา,1
260,เค้าจะเปลี่ยนแบรนด์ นะคะ ไม่เกี่ยวการจ้างงานเลย,1
261,พวกเดนสังคมจับให้หมดยิ่งดีคะ,1
262,https://t.co/19UBMwKksd https://t.co/B3p4bR4uCN,1
263,https://t.co/SDz8ho2Ubn https://t.co/rY1Pihj122,1
264,ออกมาปิดถนน ปั่นป่วนเหมือนเดิม  นิสัยเดิมๆของส้มเน่า,1
265,เป็นการเชื่อมสัมพันธ์ระหว่างประเทศที่ดีเลย,1
266,เพื่อความชำนานของกำลังพล สุดยอด,1
267,hi,1
268,"คุณธนาธร คุณคิดได้ยังไงกันค่ะ
#พรรคนี้อยู่ยาก 
#พรรคนี้จำไม่ค่อยได้ 
#ต่างคือตาย 
#พรรคอนาคตไหม้ 
#ประชาธิปไตยจอมปลอม
#ความเน่าเหม็นในอนาคตใหม่
#ธนาธรนายกโลกโซเชียล
#วิ่งไล่ยุง https://t.co/CgYWPW214j",1
269,อยากกินส้มตำแซ่บๆ เด้เนาะ,1
270,"28 ก.พ. 63  พล.รพศ.1 ได้จัดพิธีสักการะพระไพรีพินาศ พิธีบวงสรวง และพิธีทำบุญเพื่อเป็นสิริมงคลและอุทิศส่วนกุศลให้กับกำลังพลที่เสียชีวิต ของ พล.รพศ.1 มี ผบช.นขต.(ลพบุรี), แม่บ้าน พล.รพศ.1+ นขต., กำลังพลและครอบครัว เข้าร่วมพิธี โดยมี พล.ต.ชาตรี  กิตติขจร ผบ.พล.รพศ.1 เป็นประธาน https://t.co/KD0Xw53iXM",1
271,เสี่ยง..เพราะความดื้อรั้น? https://t.co/CAWcf63BRL,1
272,'ท่านใหม่'ถาม'ทอน'ถ้าคิดสู้กับ'คนๆนั้น'จริงให้รีบเอาพานพุ่มไปขอขมาต่อหน้าพระแก้วมรกตว่าแค่คะนองปาก https://t.co/ls8J8dvRx7,1
273,"""อนค."" ขอยืดเวลาส่งเอกสารแจงเงินกู้ 120 วัน ""กกต."" ขีดเส้นตายแค่ 2 ธ.ค.นี้ https://t.co/GUJJYDz8ux",1
274,https://t.co/4VgfNsNnKT,1
275,พ.อ.ประพัฒน์ จันทร์โอชา บิดานายกฯประยุทธ์ เสียชีวิตแล้วอย่างสงบ https://t.co/iYNJ0vhFhv,1
276,'กรณ์-อรรถวิชช์'เคาะแล้ว!ชื่อพรรคการเมือง หลังไขก๊อกพ้นประชาธิปัตย์ https://t.co/jvKiuWJk3p,1
277,@MaisonWanvipa @FWPthailand ส้นตีน,1
278,ขออณุญาติยังคะ,1
279,ดีมากเลยคะ,1
280,https://t.co/jB3bsqPMbp,1
281,ตามล่าตัวคนร้ายมาลงโทษให้ได้,1
282,นี่แหละที่ความเคารพ ที่น้องๆมีต่อรุ่นพี่ๆ,1
283,ไอ้เวร น่าสนตีน,1
